design,true_EC50_uM,true_log2FC_total,signal_group,n,fit_success_rate,sub20_fit_recovery_rate,significant_detection_rate,strict_detection_rate,sub20_strict_recovery_rate,median_fitted_pEC50,median_observed_range_log2FC,median_R2
extended_1_640uM,10,1,medium,500,1.0,0.996,0.994,0.078,0.078,4.994820598149475,1.179282047424932,0.9632613591217493
extended_1_640uM,10,2,high,500,1.0,1.0,1.0,0.576,0.576,4.998332781204859,2.1177180067244774,0.9913801870556538
extended_1_640uM,10,2,low,500,1.0,1.0,0.994,0.128,0.128,4.993737205525652,2.2355434671923584,0.9693417910260373
extended_1_640uM,10,2,medium,500,1.0,1.0,1.0,0.39,0.39,4.999986925006695,2.161001198086719,0.9866868250444927
extended_1_640uM,10,3,high,500,1.0,1.0,1.0,0.698,0.698,4.997965856125692,3.1085288067579295,0.9938801033776041
extended_1_640uM,10,3,low,500,1.0,1.0,1.0,0.204,0.204,4.995251561232321,3.212080153668074,0.9774680429165126
extended_1_640uM,10,3,medium,500,1.0,1.0,1.0,0.518,0.518,4.998271935200139,3.138007972422092,0.9906048306749846
extended_1_640uM,15,1,high,500,1.0,0.992,0.998,0.25,0.25,4.822611644204395,1.1381455766373278,0.9831914800717905
extended_1_640uM,15,1,low,500,1.0,0.898,0.964,0.022,0.022,4.825617996530095,1.2609801216588234,0.9437600477727816
extended_1_640uM,15,1,medium,500,1.0,0.968,0.996,0.134,0.134,4.819466724408466,1.1794606066278142,0.970835959573405
extended_1_640uM,15,2,high,500,1.0,1.0,1.0,0.688,0.688,4.823780941541351,2.1226606142881406,0.9933605854724936
extended_1_640uM,15,2,low,500,1.0,0.992,0.998,0.162,0.162,4.8273841500750345,2.2565338728018194,0.9741971880406592
extended_1_640uM,15,2,medium,500,1.0,0.998,1.0,0.434,0.432,4.824139957302297,2.1700081316322253,0.988366028077568
extended_1_640uM,15,3,high,500,1.0,1.0,1.0,0.824,0.824,4.823408535671435,3.111420207776183,0.9954907962896526
extended_1_640uM,15,3,low,500,1.0,0.992,1.0,0.304,0.304,4.823584223522396,3.224479677394492,0.9832796618100756
extended_1_640uM,15,3,medium,500,1.0,1.0,1.0,0.598,0.598,4.821792845326166,3.1553559635467785,0.9923583527922213
extended_1_640uM,20,1,high,500,1.0,0.434,1.0,0.29,0.126,4.695030504867455,1.1375291781828119,0.9840796895298544
extended_1_640uM,20,1,low,500,1.0,0.382,0.952,0.024,0.01,4.686425777939748,1.2628780933237171,0.949725356129546
extended_1_640uM,20,1,medium,500,1.0,0.45,0.996,0.142,0.058,4.694627822534795,1.1741390031502874,0.9750702429895394
extended_1_640uM,20,2,high,500,1.0,0.43,1.0,0.736,0.322,4.696026555494967,2.121972673563986,0.9941190704635077
extended_1_640uM,20,2,low,500,1.0,0.436,0.998,0.214,0.088,4.694265064450062,2.249568919811752,0.9792235600735723
extended_1_640uM,20,2,medium,500,1.0,0.45,1.0,0.462,0.204,4.69657016892711,2.1619588963281453,0.9891923505673621
extended_1_640uM,20,3,high,500,1.0,0.438,1.0,0.804,0.354,4.697534117793968,3.12711225027358,0.9953792602406983
extended_1_640uM,20,3,low,500,1.0,0.394,1.0,0.312,0.12,4.694610316016799,3.245829567732253,0.9847099153993313
extended_1_640uM,20,3,medium,500,1.0,0.398,1.0,0.634,0.256,4.695803589168037,3.1605134477337984,0.9926573980458588
extended_1_640uM,40,1,high,500,1.0,0.0,0.998,0.362,0.0,4.395348287502531,1.1422007528859386,0.9867914277771368
extended_1_640uM,40,1,low,500,1.0,0.0,0.97,0.05,0.0,4.3848162028101685,1.270931499993535,0.9535406835130038
extended_1_640uM,40,1,medium,500,1.0,0.0,0.996,0.208,0.0,4.393815617364642,1.1788653953242845,0.9787276853671896
extended_1_640uM,40,2,high,500,1.0,0.0,1.0,0.812,0.0,4.395411802467208,2.126535794869154,0.9959545670969128
extended_1_640uM,40,2,low,500,1.0,0.0,1.0,0.336,0.0,4.391097853929046,2.249962582957135,0.9846246274754598
extended_1_640uM,40,2,medium,500,1.0,0.0,1.0,0.636,0.0,4.395344326406526,2.1677043945989762,0.9924934354017325
extended_1_640uM,40,3,high,500,1.0,0.0,1.0,0.892,0.0,4.396449009012224,3.1314340468878505,0.9968597819478064
extended_1_640uM,40,3,low,500,1.0,0.0,1.0,0.476,0.0,4.39272721001412,3.2658717825977397,0.9894702967242354
extended_1_640uM,40,3,medium,500,1.0,0.0,1.0,0.768,0.0,4.394120955092708,3.1747689959529835,0.9952091900143778
